0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:13 +0530] "GET /FashionProjectFrontend/login HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:13 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:13 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:13 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:13 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 90185
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:35 +0530] "GET /FashionProjectFrontend/login HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:35 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:35 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 90185
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:50 +0530] "GET /FashionProjectFrontend/register HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:50 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:50 +0530] "GET /FashionProjectFrontend/images/12.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:37 +0530] "POST /FashionProjectFrontend/registerUser HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:37 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:37 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 90185
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:44 +0530] "POST /FashionProjectFrontend/perform_login HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:44 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:44 +0530] "GET /FashionProjectFrontend/images/18.jpg HTTP/1.1" 200 368162
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:45 +0530] "GET /FashionProjectFrontend/productdisplay HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:45 +0530] "GET /FashionProjectFrontend/images/25.jpg HTTP/1.1" 200 22841
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:45 +0530] "GET /FashionProjectFrontend/images/24.jpg HTTP/1.1" 200 19659
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:45 +0530] "GET /FashionProjectFrontend/images/27.jpg HTTP/1.1" 200 30709
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:45 +0530] "GET /FashionProjectFrontend/images/26.jpg HTTP/1.1" 200 83125
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:52:45 +0530] "GET /FashionProjectFrontend/images/45.jpeg HTTP/1.1" 200 33029
